ID,Company,Symbol,Weight
1,Microsoft,MSFT,6.65%
2,Nvidia,NVDA,6.61%
3,Apple Inc.,AAPL,5.47%
4,Amazon,AMZN,4.20%
5,Meta Platforms,META,3.26%
6,Broadcom,AVGO,2.20%
7,Alphabet Inc. (Class C),GOOG,1.97%
8,Alphabet Inc. (Class A),GOOGL,1.96%
9,Berkshire Hathaway,BRK.B,1.95%
10,"Tesla, Inc.",TSLA,1.93%
11,JPMorgan Chase,JPM,1.42%
12,Walmart,WMT,1.41%
13,Lilly (Eli),LLY,1.31%
14,Visa Inc.,V,1.21%
15,Oracle Corporation,ORCL,1.10%
16,Netflix,NFLX,0.97%
17,Mastercard,MA,0.91%
18,ExxonMobil,XOM,0.91%
19,Costco,COST,0.81%
20,Procter & Gamble,PG,0.69%
21,Johnson & Johnson,JNJ,0.68%
22,Home Depot (The),HD,0.64%
23,Bank of America,BAC,0.63%
24,Palantir Technologies,PLTR,0.62%
25,AbbVie,ABBV,0.61%
26,Coca-Cola Company (The),KO,0.55%
27,Philip Morris International,PM,0.53%
28,UnitedHealth Group,UNH,0.52%
29,IBM,IBM,0.49%
30,Cisco,CSCO,0.49%
31,Chevron Corporation,CVX,0.48%
32,GE Aerospace,GE,0.47%
33,T-Mobile US,TMUS,0.47%
34,Salesforce,CRM,0.46%
35,Wells Fargo,WFC,0.45%
36,Abbott Laboratories,ABT,0.43%
37,Linde plc,LIN,0.40%
38,Morgan Stanley,MS,0.40%
39,Walt Disney Company (The),DIS,0.39%
40,Intuit,INTU,0.39%
41,American Express,AXP,0.39%
42,McDonald's,MCD,0.39%
43,Advanced Micro Devices,AMD,0.38%
44,ServiceNow,NOW,0.38%
45,Merck & Co.,MRK,0.37%
46,AT&T,T,0.37%
47,Goldman Sachs,GS,0.36%
48,RTX Corporation,RTX,0.36%
49,Accenture,ACN,0.36%
50,Intuitive Surgical,ISRG,0.34%
51,Texas Instruments,TXN,0.34%
52,PepsiCo,PEP,0.33%
53,Verizon,VZ,0.33%
54,Uber,UBER,0.33%
55,Booking Holdings,BKNG,0.32%
56,Caterpillar Inc.,CAT,0.32%
57,Qualcomm,QCOM,0.31%
58,Charles Schwab Corporation,SCHW,0.30%
59,Adobe Inc.,ADBE,0.30%
60,Amgen,AMGN,0.29%
61,S&P Global,SPGI,0.29%
62,Progressive Corporation,PGR,0.28%
63,BlackRock,BLK,0.28%
64,Boston Scientific,BSX,0.28%
65,Boeing,BA,0.28%
66,Thermo Fisher Scientific,TMO,0.28%
67,NextEra Energy,NEE,0.27%
68,Citigroup,C,0.27%
69,Honeywell,HON,0.27%
70,Stryker Corporation,SYK,0.27%
71,Deere & Company,DE,0.26%
72,Danaher Corporation,DHR,0.26%
73,Applied Materials,AMAT,0.26%
74,TJX Companies,TJX,0.25%
75,Micron Technology,MU,0.25%
76,Pfizer,PFE,0.25%
77,Gilead Sciences,GILD,0.25%
78,GE Vernova,GEV,0.25%
79,Palo Alto Networks,PANW,0.25%
80,Union Pacific Corporation,UNP,0.25%
81,Eaton Corporation,ETN,0.24%
82,Comcast,CMCSA,0.24%
83,Capital One,COF,0.24%
84,Automatic Data Processing,ADP,0.23%
